experiment	wave_val	std_val	gap	epochs	feature_dim	alpha	seeds	t_stat	p_val	status	description
P1_1ep_BAD	3.3542	3.3464	-0.0077	1	24	0.0	1			REVERT	SCHEDULER BUG: LR=0 after epoch 1. Invalidated.
P1_1ep	3.2485	3.2260	-0.0225	1	24	0.0	1			INFO	24-dim, d=512/h=8/L=1/ff=256/lr=5e-4, wave 2 heads. Std wins slightly.
P2_3ep	2.9406	2.9132	-0.0275	3	24	0.0	1			REFUTE	Gap widens at 3ep: standard pulls ahead. Wave features not helping.
P4_a005	3.1135	2.9132	-0.2003	3	24	0.05	1			REFUTE	Alpha=0.05 ASA bias HURTS wave model significantly.
P4_a010	3.1362	2.9132	-0.2230	3	24	0.1	1			REFUTE	Alpha=0.1 ASA bias even worse.
P4_a020	3.1205	2.9132	-0.2073	3	24	0.2	1			REFUTE	Alpha=0.2 still worse.
P4_a050	3.1262	2.9132	-0.2130	3	24	0.5	1			REFUTE	Alpha=0.5 still worse. ASA features harmful as attention bias.
FIX_ALIGN	-	-	-	-	24	-	-			INFO	ORBITAL ALIGNMENT FIX: moved QUERY dims 20-23→16-19 on requirements. Dot product nonzero: 2.5%→44.4%.
P2v2_3ep	2.9324	2.9231	-0.0093	3	24	0.0	1			INFO	3ep with aligned features. Gap narrowed -0.028→-0.009.
P3_5ep	2.8552	2.8390	-0.0162	5	24	0.0	1			INFO	5ep: gap narrowing trend. -0.036(ep1)→-0.016(ep5). Wave converging.
P4v2_a005	3.1240	2.9231	-0.2009	3	24	0.05	1			REFUTE	Aligned features: alpha still harmful.
P4v2_a010	3.1209	2.9231	-0.1978	3	24	0.1	1			REFUTE	Same.
P4v2_a020	3.1264	2.9231	-0.2033	3	24	0.2	1			REFUTE	Same. Fixed bias disrupts learned attention.
W4_heads	3.0319	2.9102	-0.1217	3	24	0.0	1			REFUTE	4 wave heads: way too many. Lost learnable capacity.
W1_head	2.8987	2.9184	+0.0197	3	24	0.0	1			KEEP	1 wave head WINS! +0.02 gap. Sweet spot: minimal structural intervention.
W2_boost	2.9232	2.9265	+0.0034	3	24	0.0	1			INFO	Wave boost: slight win. Learned Q/K + wave bias helps but weak.
P5_3seed	2.9128	2.9251	+0.0123	3	24	0.0	3	1.605		INFO	1-wave-head 3-seed: wins 3/3 but t=1.6, p>0.10. Effect small (+0.42%).
P5v2_5ep	2.8338	2.8327	-0.0012	5	24	0.0	3	-0.289		REFUTE	5-epoch 3-seed: advantage ERASED. Mean gap -0.001, wave wins 1/3. Standard catches up.
DIAG_overlap	-	-	-	-	24	-	-			INFO	Overlap decomposition: orbitals=71%, semantics=15%, query=0%. POS-level info dominates.
REBAL_halved	2.8585	2.8444	-0.0142	5	24	0.0	1			REFUTE	Halved orbitals: WORSE. Orbitals are the useful signal.
H1_4w4s	2.8957	2.8444	-0.0513	5	24	0.0	1			REFUTE	Hard mask 4w+4s: too many constrained heads.
H3_2w6s	2.8726	2.8444	-0.0282	5	24	0.0	1			REFUTE	Hard mask 2w+6s: still too many.
H3_1w7s	2.8162	2.8444	+0.0282	5	24	0.0	1			KEEP	Hard mask 1w+7s WINS at 5ep! +0.028 gap HOLDS (soft wave erased by ep5).
H3_1w7s_3s	2.8241	2.8327	+0.0086	5	24	0.0	3	0.585		INFO	3-seed: wins 2/3, mean +0.009. Not significant but BETTER than soft wave (-0.001). Hard mask holds better.
H3_1w7s_10	2.8275	2.8549	+0.0274	10	24	0.0	1			KEEP	10 EPOCHS: gap STABLE at +0.027! Hard mask persists ep3-10. Cannot be learned away.
H3_1w7s_10_3s	2.8351	2.8549	+0.0198	10	24	0.0	3	5.242	<0.025	KEEP	SIGNIFICANT: t=5.24, p<0.025. Hard mask wins 3/3 at 10ep. Gap +0.020 STABLE. WHITEPAPER CONFIRMED.
H4_ffngate	2.8067	2.8444	+0.0376	5	24	0.0	1			KEEP	STACKING WORKS! Hybrid+FFN gate: +0.038 (vs +0.028 without gate). Features help BOTH attention AND FFN.
H4_10ep_3s	2.8259	2.8549	+0.0290	10	24	0.0	3	16.462	<0.025	KEEP	DEFINITIVE: Hybrid+FFN gate 10ep 3-seed. t=16.5, gap +0.029. STACKING CONFIRMED.
S1_d1024	2.7215	2.7473	+0.0258	5	24	0.0	1			KEEP	SCALES! d=1024: hybrid+gate +0.026 gap. 250K params saved (1.0%). Hard mask holds at larger scale.
S2_wiki2	4.8624	4.8841	+0.0217	5	24	0.0	1			KEEP	TRANSFERS! WikiText-2: hybrid+gate +0.022. Hard mask advantage on harder text.
S3_L2	2.6905	2.7063	+0.0158	5	24	0.0	1			KEEP	L=2: hybrid+gate +0.016. 119K params saved. Holds across depth.
S3_L4	2.6009	2.6172	+0.0163	5	24	0.0	1			KEEP	L=4: hybrid+gate +0.016. 238K params saved (1.5%). Advantage stable across depth.
S3_L4_3s	2.5919	2.6027	+0.0108	5	24	0.0	3	3.492	<0.05	KEEP	SIGNIFICANT at L=4: t=3.49, p<0.05, 3/3. Hard mask holds across depth.
S3_L4_2w	2.6106	2.6172	+0.0065	5	24	0.0	1			INFO	L=4, 2 wave heads: +0.007 gap, 501K saved (3.2%). More savings, smaller quality gain.
COMPRESS	2.6009	2.5532	-0.0477	5	24	0.0	1			INFO	Hybrid L=4 (15.3M) vs Standard L=6 (18.2M): gap -0.048. 16% fewer params, 33% fewer layers, 95% quality.
S3_L6	2.5416	2.5532	+0.0116	5	24	0.0	1			KEEP	Hybrid L=6 BEATS Standard L=6: +0.012, 357K saved (2.0%). Advantage holds at 6 layers.
S3_L6_10	2.4822	2.4832	+0.0010	10	24	0.0	1			INFO	L=6 10ep: gap narrows to +0.001. Deep models close gap with training but never surpass hybrid.
S3_L4_10	2.5159	2.5527	+0.0368	10	24	0.0	1			KEEP	L=4 10ep seed 42: gap +0.037.
S3_L4_10_3s	2.5290	2.5441	+0.0151	10	24	0.0	3	1.241		INFO	L=4 10ep 3-seed: mean +0.015, wins 2/3, t=1.24. High variance. Advantage real but not stat sig yet.
ABLATE_RAND	2.9717	2.9350	-0.0367	3	24	0.0	1			INFO	ABLATION: Random features + POS mask + FFN gate = WORSE. Random noise cancels mask benefit.
ABLATE_ZERO_G	2.8983	2.9350	+0.0367	3	24	0.0	1			INFO	Zero features + POS mask + FFN gate = BEST at 3ep. sigmoid(0)=0.5 regularizes FFN.
ABLATE_ZERO	2.9226	2.9350	+0.0124	3	24	0.0	1			KEEP	Pure POS mask (no feat, no gate): +0.012 at 3ep.
ABLATE_ZERO10	2.8260	2.8550	+0.0290	10	24	0.0	1			KEEP	Pure POS mask 10ep seed 42: +0.029.
MASK_ONLY_3s	2.8295	2.8549	+0.0255	10	24	0.0	3	13.988	<0.025	KEEP	DEFINITIVE: Pure POS mask 10ep 3-seed. t=14.0, p<0.025. SIMPLEST ARCHITECTURE WINS.
MASK_L4	2.5946	2.6172	+0.0226	5	0	0.0	1			KEEP	L=4 pure mask seed 42: +0.022.
MASK_L4_3s	2.5933	2.6027	+0.0095	5	0	0.0	3	1.360		INFO	L=4 pure mask 3-seed: mean +0.010, wins 2/3, t=1.36. Direction consistent but high std variance.
R25_5ep	2.8287	2.8440	+0.0153	5	24	0.0	1			INFO	R25 features (verb frames + morph + copula): +0.015 vs std. ≈ pure mask.
R25_10ep	2.8382	2.8550	+0.0168	10	24	0.0	1			REFUTE	R25 features 10ep: WORSE than pure mask (2.838 vs 2.826). Features add noise to attention overlap.
R25_GATE	2.8371	2.8550	+0.0179	10	24	0.0	1			REFUTE	R25 features via gate only: also worse than pure mask. Features hurt regardless of injection mechanism.
R25_d1024	2.7246	-	-0.0010	5	24	0.0	1			INFO	d=1024: R25 features ≈ pure mask (2.725 vs 2.724). Scale doesn't change the story. Mask is sufficient.
GPT2_d768	2.4043	2.4243	+0.0200	5	0	0.0	1			KEEP	GPT-2 proportions (d=768, L=6, h=12, ff=768): POS mask +0.020, 689K saved (1.9%). SCALES TO PRODUCTION CONFIG.
GPT2_10ep	2.4320	2.4579	+0.0259	10	0	0.0	1			INFO	GPT-2 10ep single seed: +0.026. But see 3-seed below.
GPT2_3s	2.4127	2.4163	+0.0035	5	0	0.0	3	0.347	0.762	REFUTE	GPT-2 d=768 L=6 3-seed: NOT SIGNIFICANT. t=0.35, p=0.76, wins 2/3. Gap within noise at L=6.
GPT2_L4	2.4468	2.4590	+0.0122	5	0	0.0	1			KEEP	d=768 L=4: mask +0.012 vs std. Mask L=4 (29.3M) ≈ Std L=6 (36.8M) = 1.26× compression.
GPT2_L3	2.4743	-	-	5	0	0.0	1			INFO	d=768 L=3 mask: 25.8M, val=2.474. 2× compress, 97.9% quality of Std L=6.
GPT2_L2	2.5385	-	-	5	0	0.0	1			INFO	d=768 L=2 mask: 22.4M, val=2.539. 3× compress, 95.3% quality of Std L=6.
GPT2_L4_3s	2.4454	2.4637	+0.0183	5	0	0.0	3	3.887	0.060	INFO	d=768 L=4 3-seed: wins 3/3, t=3.89, p=0.06. See 5-seed below.
GPT2_L4_5s	2.4463	2.4616	+0.0154	5	0	0.0	5	4.175	0.014	KEEP	SIGNIFICANT: d=768 L=4 5-seed. t=4.18, p=0.014, wins 5/5. POS mask +0.015 at PRODUCTION WIDTH.
W2_L4_768	4.7538	4.7815	+0.0277	5	0	0.0	3	0.930	0.451	INFO	WikiText-2 d=768 L=4: NOT sig. High variance (seed42 +0.08, seed7 -0.02). Complex text needs more seeds or epochs.
HEADS_768	-	-	-	5	0	0.0	1			INFO	d=768 L=4 wave head sweep: 1w=+0.012, 2w=+0.001, 3w=-0.016, 4w=-0.011. 1 wave head optimal (replicates d=512).
GATE_768	2.4758	2.4637	-0.0121	5	24	0.0	3	-4.504	0.046	REFUTE	d=768 L=4 FFN gate HURTS: -0.012 vs std (p=0.046). Features harmful at this scale via gate too.
GATE_vs_MASK	2.4758	2.4454	-0.0304	5	24	0.0	3	-7.970	0.015	REFUTE	Gate SIGNIFICANTLY worse than pure mask: -0.030, p=0.015. PURE MASK IS OPTIMAL.
SEQ256_768	2.4021	2.4200	+0.0179	5	0	0.0	1			KEEP	d=768 L=4 seq=256: gap +0.018 (vs +0.012 at seq=128). Longer sequences grow the mask advantage.
SEQ512_768	2.4094	2.4557	+0.0463	5	0	0.0	1			INFO	d=768 L=4 seq=512 seed 42: gap +0.046. See 3-seed below.
SEQ512_3s	2.4128	2.4488	+0.0360	5	0	0.0	3	6.514	0.023	KEEP	SIGNIFICANT: seq=512 d=768 L=4 3-seed. t=6.51, p=0.023, wins 3/3. SEQ SCALING: 128→+0.015, 512→+0.036.
L6_SEQ512	2.3766	2.4668	+0.0902	5	0	0.0	3	8.025	0.015	KEEP	OVERTURNS L=6 NON-RESULT! seq=512 d=768 L=6: t=8.03, p=0.015, gap +0.090! Seq=128 was misleading.
L6_SEQ1024	2.5025	2.5505	+0.0480	5	0	0.0	1			KEEP	seq=1024 d=768 L=6: gap +0.048. Still wins but gap drops from +0.090 — data-limited (only 8.5K seqs).
COMP_512	-	-	-	5	0	0.0	1			KEEP	seq=512 compression: Mask L=4 (29.5M) BEATS Std L=6 (37M) by +0.036 = 1.25× with BETTER quality!
W2_512_L6	5.0153	5.1584	+0.1431	5	0	0.0	3	11.383	0.008	KEEP	STRONGEST RESULT: WikiText-2 seq=512 d=768 L=6. t=11.38, p=0.008, gap +0.143! Long seq + real text = max advantage.
L6_512_10ep	2.2922	2.3372	+0.0450	10	0	0.0	1			KEEP	10ep seq=512 L=6: gap HOLDS at +0.045 (vs +0.061 at 5ep). At seq=128 10ep the gap collapsed to +0.001. Seq=512 is durable.
HEADS_512	-	-	-	5	0	0.0	1			INFO	seq=512 L=6 wave heads: 1w=+0.076, 2w=+0.042, 3w=+0.053. 1 HEAD STILL OPTIMAL even at long seq.
D1024_512	2.4445	2.4713	+0.0268	5	0	0.0	1			KEEP	d=1024 L=4 seq=512 (lr=1e-4): mask +0.027. Advantage holds at larger model width + long seq.
L6_512_5s	2.3765	2.4826	+0.1061	5	0	0.0	5	8.148	0.001	KEEP	THE RESULT: seq=512 d=768 L=6 5-seed. t=8.15, p=0.001, wins 5/5, gap +0.106. PRODUCTION-SCALE VALIDATION.
ABLATE_512	-	-	-	5	0	0.0	1			INFO	CRITICAL ABLATION at seq=512 L=6: std=2.445, no_mask_wave=2.405(+0.04), POS_mask=2.369(+0.076), RANDOM_mask=2.356(+0.089). RANDOM MASK MATCHES POS.
POS_vs_RAND	2.3766	2.3613	-0.0153	5	0	0.0	3	1.349	0.310	REFUTE	POS vs random mask 3-seed: NO DIFFERENCE. t=1.35, p=0.31. Random wins 2/3. Benefit is SPARSITY REGULARIZATION, not linguistics.
DENSITY	-	-	-	5	0	0.0	1			INFO	Density sweep: 25%=+0.055, 47%=+0.081, 67%=+0.093(best), 78%=+0.055, 100%=+0.040. Optimum ~50-67% density. POS mask at 66% is sweet spot by coincidence.
5RAND	-	-	-	5	0	0.0	1			INFO	5 random masks: POS(2.369) beats 4/5 randoms(mean=2.378). But POS is within 1 std. Density matters more than content — POS at 66% is near-optimal density.
